CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,
DA,Board,DA0114,"ไม้ปาติเกิล PB18mm-เมลามีน MD206 2 หน้า 1800x2400mm (6""x8"")",,เมโทร ปาร์ติเกิล จำกัด POF221221-007,1080.00,0,,,,,,,
DA,Board,DA0115,"ไม้ HMR12mm-เมลามีน MD286 2 หน้า 1200x2400mm (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,890.00,0,,,,,,,
DA,Board,DA0116,"ไม้ HMR18mm-เมลามีน MD286 2 หน้า 1200x2400mm (4""x8"")",,เมโทร เอ็ม.ดี.เอฟ. จำกัด,990.00,0,,,,,,,
DA,Board,DA0117,"ไม้ปาติเกิล PB18mm-เมลามีน MD286 2 หน้า 1200x2400mm (4""x8"")",,เมโทร ปาร์ติเกิล จำกัด ,720.00,0,,,,,,,
DA,Board,DA0118,"ไม้ปาติเกิล PB12mm-เมลามีน MD641 2 หน้า 1200x2400 (4""x8"")",, เมโทร ปาร์ติเกิล จำกัด  ,630.00,0,,,,,,,
DA,Board,DA0119,"ไม้ปาติเกิล PB18mm-เมลามีน MD641 2 หน้า 1200x2400 (4""x8"")",, เมโทร ปาร์ติเกิล จำกัด  ,720.00,0,,,,,,,
DA,Board,DA0120,"ไม้อัดยาง PWB10mm-เมลามีน MKW101-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,790.00,0,,,,,,,
DA,Board,DA0121,"ไม้ HMR18mm-เมลามีน MKW1169-02 2หน้า 1200x2400 (4""x8"")",DJ24052 พ. ลานนา Renovation (ลานนา 3 ชั้น 1), บริษัท เอ็มเค วู้ดเทค จำกัด ,1010.00,0,,,,,,,
DA,Board,DA0122,"ไม้ MDF12mm-เมลามีน MKW3309-06 2หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,670.00,0,,,,,,,
DA,Board,DA0123,"ไม้ MDF19mm-เมลามีน MKW3309-06 2หน้า 1200x2400 (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,810.00,0,,,,,,,
DA,Board,DA0124,"ไม้ HDF4mm-เมลามีน MKW5377-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,370.00,0,,,,,,,
DA,Board,DA0125,"ไม้ HMR12mm-เมลามีน MKW5377-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1080.00,0,,,,,,,
DA,Board,DA0126,"ไม้ HMR15mm-เมลามีน MKW5377-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1190.00,0,,,,,,,
DA,Board,DA0127,"ไม้ HMR18mm-เมลามีน MKW5377-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1110.00,0,,,,,,,
DA,Board,DA0128,"ไม้ MDF19mm-เมลามีน MKW5377-06 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,810.00,0,,,,,,,
DA,Board,DA0129,"ไม้ HDF4mm-เมลามีน MKW595-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,270.00,0,,,,,,,
DA,Board,DA0130,"ไม้ HMR18mm-เมลามีน MKW595-01 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1010.00,0,,,,,,,
DA,Board,DA0131,"ไม้ HMR18mm-เมลามีน MKW6983-11 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1310.00,0,,,,,,,
DA,Board,DA0132,"ไม้ HDF4mm-เมลามีน MKW101-09 1หน้า 1200x2400mm (4""x8"")
",, บริษัท เอ็มเค วู้ดเทค จำกัด ,185.00,0,,,,,,,
DA,Board,DA0133,"ไม้ HMR4mm-เมลามีน MKW101-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,485.00,0,,,,,,,
DA,Board,DA0134,"ไม้ HMR6mm-เมลามีน MKW101-01 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,570.00,0,,,,,,,
DA,Board,DA0135,"ไม้ HMR6mm-เมลามีน MKW101-09 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,530.00,0,,,,,,,
DA,Board,DA0136,"ไม้ HMR12mm-เมลามีน MKW101-01 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,760.00,0,,,,,,,
DA,Board,DA0137,"ไม้ HMR15mm-เมลามีน MKW101-01 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,860.00,0,,,,,,,
DA,Board,DA0138,"ไม้ HMR18mm-เมลามีน MKW101-01 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,990.00,0,,,,,,,
DA,Board,DA0139,"ไม้ HMR18mm-เมลามีน MKW101-04 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,990.00,0,,,,,,,
DA,Board,DA0140,"ไม้ HMR18mm-เมลามีน MKW101-15 2หน้า 1200x2400mm (4""x8"") ",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1755.00,0,,,,,,,
DA,Board,DA0141,"ไม้ HMR25mm-เมลามีน MKW101-15 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,1815.00,0,,,,,,,
DA,Board,DA0142,"ไม้ MDF6mm-เมลามีน MKW101-09 1หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,415.00,0,,,,,,,
DA,Board,DA0143,"ไม้ MDF9mm-เมลามีน MKW101-04 2หน้า 1200x2400mm (4""x8"")",, บริษัท เอ็มเค วู้ดเทค จำกัด ,475.00,0,,,,,,,
