CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DF,Finishing,DF0109,"ลามิเนต 0.8mm Formica AP-7391-NT-0.8x1200x2400mm (4""x8"")",,แสงเจริญเฮ้าส์ซิ่งโปรดักส์ จำกัด,870.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0110,"ลามิเนต 0.8mm Formica PP-0933-UN-0.8x1200x2400mm (4""x8"")",, บริษัท รุ่งสมบัติ (2528) จำกัด,822.43,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0111,"ลามิเนต 0.7mm lamitak-NO.ARTE 1018D-0.7x1200x2400mm (4""x8"")",,บริษัท  ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,1260.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0112,"ลามิเนต 0.7mm ลามิเนต-TD-9200 PL-0.7x1200x2400mm (4""x8"")",, บริษัท รุ่งสมบัติ (2528) จำกัด,233.64,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0113,"ลามิเนต 0.8mm ลามิเนต-h-1057-408-008-0.8x1200x2400mm (4""x8"")",,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0114,"ลามิเนต 0.8mm ลามิเนต-V-DM7663W8-0.8x1200x2400mm (4""x8"")",, บริษัท เวอร์โก้ แปซิฟิก (ประเทศไทย) จำกัด,841.12,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0115,"ลามิเนต 0.8mm Greenlam-GSC-277-0.8x1200x2400mm (4""x8"")",, บริษัท พอร์ท 09 จำกัด,588.78,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0116,"ลามิเนต 0.7mm Lamitak HPL-WY 4217X-0.7x1200x2400mm (4""x8"")",,บริษัท ทีเอเค โพรดัคส์ แอนด์,1400.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0117,"ลามิเนต 0.7mm Lamitak HPL-WGA 5212S-0.7x1200x2400mm (4""x8"")",,บริษัท ทีเอเค โพรดัคส์ แอนด์,950.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0118,"ลามิเนต 0.7mm Lamitak HPL-DXN 5308X-0.7x1200x2400mm (4""x8"")",,บริษัท ทีเอเค โพรดัคส์ แอนด์,1400.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0119,"ลามิเนต 1.0mm-ลามิเนต Wilsonart NO.4703 1.0x1200x2400mm.(4""x12"")",,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0120,ฟิล์ม 1mm IMPORT#67-102 สีชมพูอ่อนสะท้อนแสง W1250  (ไม่มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0121,ฟิล์ม 1mm IMPORT#67-102 สีชมพูอ่อนสะท้อนแสง W1250  (มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0122,ฟิล์ม 1mm IMPORT#67-104 สีม่วงสะท้อนแสง W1250  (ไม่มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0123,ฟิล์ม 1mm IMPORT#67-104 สีม่วงสะท้อนแสง W1250  (มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0124,ฟิล์ม 1mm IMPORT#67-117 สีน้ำตาลสะท้อนแสง W1250  (ไม่มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0125,ฟิล์ม 1mm IMPORT#67-117 สีน้ำตาลสะท้อนแสง W1250  (มีกาว),,,,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0126,"ลามิเนต 0.7mm ลามิเนต LSX#AS-14131 CS16 0.7x1200x2400mm (4""x8"")",,แอลเอสเอ็กซ์ จำกัด,950.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0127,"ลามิเนต 0.7mm Lamitak#HPL/WY 5259D 0.7x1200x2400mm (4""x8"")",,บริษัท ทีเอเค โพรดัคส์ แอนด์,1400.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0128,"ลามิเนต 0.8mm PP-7929-UN 0.8x1200x2400mm (4""x8"")",,บริษัท รุ่งสมบัติ (2528) จำกัด ,728.97,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0129,"ลามิเนต 1.0mm EDL#ERS 1705HG 1.0x1200x2400mm (4""x8"")",,บริษัท อีดีแอล ลามิเนตส์ จำกัด,1600.00,,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0130,"ลามิเนต 0.8mm Formica# PP-7171-SD 0.8x1200x2400mm (4""x8"")",,แสงเจริญเฮ้าส์ซิ่งโปรดักส์ จำกัด,1130.85,,,,,,,,,,,,,,,,,,,
